player,player_id,season,posteam,full_player_name,position
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2015,DET,Ameer Abdullah,RB
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2016,DET,Ameer Abdullah,RB
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2017,DET,Ameer Abdullah,RB
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2018,DET,Ameer Abdullah,RB
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2018,MIN,Ameer Abdullah,RB
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,2019,MIN,Ameer Abdullah,RB
A.Allen,32013030-2d30-3032-3831-36336308f66a,2012,BAL,Anthony Allen,RB
A.Allen,32013030-2d30-3032-3835-3635b6007d86,2011,CHI,Armando Allen,RB
A.Allen,32013030-2d30-3032-3835-3635b6007d86,2012,CHI,Armando Allen,RB
A.Andrews,32013030-2d30-3033-3037-3839867effd5,2014,TEN,Antonio Andrews,RB
A.Andrews,32013030-2d30-3033-3037-3839867effd5,2015,TEN,Antonio Andrews,RB
A.Armah,32013030-2d30-3033-3332-3936a29f674a,2018,CAR,Alex Armah,FB
A.Armah,32013030-2d30-3033-3332-3936a29f674a,2019,CAR,Alex Armah,FB
A.Armstrong,32013030-2d30-3032-3634-3635b54d1cb0,2011,WAS,Anthony Armstrong,WR
A.Armstrong,32013030-2d30-3032-3634-3635b54d1cb0,2012,MIA,Anthony Armstrong,WR
A.Arrington,32013030-2d30-3032-3633-37372f0b8fa8,2011,NO,Adrian Arrington,WR
A.Auclair,32013030-2d30-3033-3334-32316f697616,2017,TB,Antony Auclair,TE
A.Auclair,32013030-2d30-3033-3334-32316f697616,2018,TB,Antony Auclair,TE
A.Auclair,32013030-2d30-3033-3334-32316f697616,2019,TB,Antony Auclair,TE
A.Battle,32013030-2d30-3032-3230-363437f62ea4,2011,PIT,Arnaz Battle,WR
A.Becht,32013030-2d30-3031-3934-3537d06e129d,2011,KC,Anthony Becht,TE
A.Beck,32013030-2d30-3033-3439-3539fde9fa50,2019,DEN,Andrew Beck,TE
A.Benn,32013030-2d30-3032-3736-3534e1a99468,2011,TB,Arrelious Benn,WR
A.Benn,32013030-2d30-3032-3736-3534e1a99468,2012,TB,Arrelious Benn,WR
A.Benn,32013030-2d30-3032-3736-3534e1a99468,2016,JAX,Arrelious Benn,WR
A.Benn,32013030-2d30-3032-3736-3534e1a99468,2017,JAX,Arrelious Benn,WR
A.Binns,32013030-2d30-3032-3834-303014dffc1c,2012,CIN,Armon Binns,WR
A.Binns,32013030-2d30-3032-3834-303014dffc1c,2012,MIA,Armon Binns,WR
A.Blake,32013030-2d30-3032-3930-3530828fa13a,2014,PIT,Antwon Blake,DB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,2014,HOU,Alfred Blue,RB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,2015,HOU,Alfred Blue,RB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,2016,HOU,Alfred Blue,RB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,2017,HOU,Alfred Blue,RB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,2018,HOU,Alfred Blue,RB
A.Boldin,32013030-2d30-3032-3230-38343770790e,2011,BAL,Anquan Boldin,WR
